state,county,lat,lon,pop
Arkansas,Arkansas County,34.2895697,-91.3765466,17149
Arkansas,Ashley County,33.1908354,-91.7722672,19062
Arkansas,Baxter County,36.2802684,-92.3299488,41627
Arkansas,Benton County,36.3378189,-94.2562984,284333
Arkansas,Boone County,36.3042991,-93.0792364,37373
Arkansas,Bradley County,33.4665491,-92.1691559,10545
Arkansas,Calhoun County,33.5604604,-92.513879,4739
Arkansas,Carroll County,36.3373704,-93.5409718,28260
Arkansas,Chicot County,33.2671393,-91.2971578,10208
Arkansas,Clark County,34.0533162,-93.1762085,21446
Arkansas,Clay County,36.3673021,-90.4187041,14552
Arkansas,Cleburne County,35.5663146,-92.0599504,24711
Arkansas,Cleveland County,33.8932006,-92.1887141,7550
Arkansas,Columbia County,33.2230377,-93.2328433,22801
Arkansas,Conway County,35.265702,-92.6892479,20715
Arkansas,Craighead County,35.8277285,-90.6314213,111231
Arkansas,Crawford County,35.5830114,-94.2362187,60133
Arkansas,Crittenden County,35.1975594,-90.3051195,48163
Arkansas,Cross County,35.2856921,-90.7639835,16833
Arkansas,Dallas County,33.9678233,-92.6539989,6482
Arkansas,Desha County,33.8287519,-91.2441034,11395
Arkansas,Drew County,33.5872418,-91.7227781,17350
Arkansas,Faulkner County,35.1465478,-92.3369277,123498
Arkansas,Franklin County,35.5085579,-93.8876647,17097
Arkansas,Fulton County,36.3813225,-91.8192849,12075
Arkansas,Garland County,34.5788522,-93.1469323,100180
Arkansas,Grant County,34.2855683,-92.4229794,17958
Arkansas,Greene County,36.1206072,-90.5663459,45736
Arkansas,Hempstead County,33.735953,-93.6643553,20065
Arkansas,Hot Spring County,34.3151767,-92.9441474,33040
Arkansas,Howard County,34.0830639,-93.9909315,12785
Arkansas,Independence County,35.7374992,-91.5599423,37938
Arkansas,Izard County,36.0948792,-91.9136252,13577
Arkansas,Jackson County,35.5964674,-91.2232051,16755
Arkansas,Jefferson County,34.277239,-91.929673,67260
Arkansas,Johnson County,35.5733586,-93.4663223,25749
Arkansas,Lafayette County,33.2406294,-93.611514,6308
Arkansas,Lawrence County,36.0410983,-91.1011529,16216
Arkansas,Lee County,34.7795048,-90.7797172,8600
Arkansas,Lincoln County,33.9563846,-91.742355,12941
Arkansas,Little River County,33.7019411,-94.2362871,12026
Arkansas,Logan County,35.2186538,-93.7209102,21131
Arkansas,Lonoke County,34.7551137,-91.894132,74015
Arkansas,Madison County,36.0125452,-93.7240531,16521
Arkansas,Marion County,36.2666636,-92.6785765,16826
Arkansas,Miller County,33.3055054,-93.9015018,42600
Arkansas,Mississippi County,35.7669437,-90.0522072,40685
Arkansas,Monroe County,34.6795117,-91.2033099,6799
Arkansas,Montgomery County,34.5456557,-93.664153,8484
Arkansas,Nevada County,33.6666991,-93.3050716,8310
Arkansas,Newton County,35.9107423,-93.2158984,7225
Arkansas,Ouachita County,33.5911684,-92.8784131,22650
Arkansas,Perry County,34.9463629,-92.9268773,10019
Arkansas,Phillips County,34.4236874,-90.8555931,16568
Arkansas,Pike County,34.1581907,-93.6586589,10171
Arkansas,Poinsett County,35.5688702,-90.6811037,22965
Arkansas,Polk County,34.4909149,-94.2308841,19221
Arkansas,Pope County,35.456557,-93.0268181,63381
Arkansas,Prairie County,34.8311162,-91.5536205,8282
Arkansas,Pulaski County,34.7703106,-92.312996,399125
Arkansas,Randolph County,36.3412985,-91.0284409,18571
Arkansas,St. Francis County,35.0228383,-90.7515058,23090
Arkansas,Saline County,34.6485246,-92.674463,123416
Arkansas,Scott County,34.8588693,-94.0636413,9836
Arkansas,Searcy County,35.8963868,-92.6958884,7828
Arkansas,Sebastian County,35.1969808,-94.2749889,127799
Arkansas,Sevier County,33.9948773,-94.2432792,15839
Arkansas,Sharp County,36.1733989,-91.4710689,17271
Arkansas,Stone County,35.8570011,-92.1404819,12359
Arkansas,Union County,33.1682186,-92.5981447,39054
Arkansas,Van Buren County,35.5829532,-92.5159757,15796
Arkansas,Washington County,35.978001,-94.2172695,245871
Arkansas,White County,35.2551175,-91.7530339,76822
Arkansas,Woodruff County,35.1927768,-91.2445353,6269
Arkansas,Yell County,34.9977133,-93.4083032,20263
