state,county,lat,lon,pop
Alabama,Autauga County,32.5322367,-86.6464395,58805
Alabama,Baldwin County,30.6592183,-87.7460666,231767
Alabama,Barbour County,31.8702531,-85.4051035,25223
Alabama,Bibb County,33.0158929,-87.1271475,22293
Alabama,Blount County,33.9773575,-86.56644,59134
Alabama,Bullock County,32.1017589,-85.7172613,10357
Alabama,Butler County,31.751667,-86.6819689,19051
Alabama,Calhoun County,33.7705162,-85.8279089,116441
Alabama,Chambers County,32.9155039,-85.3940321,34772
Alabama,Cherokee County,34.0695153,-85.6542417,24971
Alabama,Chilton County,32.8540514,-86.7266071,45014
Alabama,Choctaw County,31.9909539,-88.2488894,12665
Alabama,Clarke County,31.6855211,-87.8186244,23087
Alabama,Clay County,33.2703999,-85.8635254,14236
Alabama,Cleburne County,33.6719637,-85.5161261,15056
Alabama,Coffee County,31.402258,-85.9896022,53465
Alabama,Colbert County,34.703112,-87.8014569,57227
Alabama,Conecuh County,31.4309257,-86.9887221,11597
Alabama,Coosa County,32.9314453,-86.2434818,10387
Alabama,Covington County,31.2439873,-86.4487206,37570
Alabama,Crenshaw County,31.7303106,-86.3200384,13194
Alabama,Cullman County,34.1319229,-86.8692666,87866
Alabama,Dale County,31.4306536,-85.609476,49326
Alabama,Dallas County,32.3335263,-87.11436,38462
Alabama,DeKalb County,34.4609148,-85.8040207,71608
Alabama,Elmore County,32.597229,-86.1427347,87977
Alabama,Escambia County,31.1222867,-87.1684097,36757
Alabama,Etowah County,34.0476407,-86.0342629,103436
Alabama,Fayette County,33.7161568,-87.7642923,16321
Alabama,Franklin County,34.4419892,-87.8428144,32113
Alabama,Geneva County,31.0923822,-85.8210224,26659
Alabama,Greene County,32.8444965,-87.9642005,7730
Alabama,Hale County,32.7527958,-87.6230608,14785
Alabama,Henry County,31.5169779,-85.2399712,17146
Alabama,Houston County,31.1581831,-85.2964111,107202
Alabama,Jackson County,34.764114,-85.9800556,52579
Alabama,Jefferson County,33.5534439,-86.8965359,674721
Alabama,Lamar County,33.7870852,-88.0874309,13972
Alabama,Lauderdale County,34.9041221,-87.6509966,93564
Alabama,Lawrence County,34.529776,-87.3218651,33073
Alabama,Lee County,32.6040644,-85.3530477,174241
Alabama,Limestone County,34.8102387,-86.9813995,103570
Alabama,Lowndes County,32.147888,-86.6505859,10311
Alabama,Macon County,32.3870267,-85.692887,19532
Alabama,Madison County,34.7642377,-86.5510802,388153
Alabama,Marengo County,32.2475911,-87.791091,19323
Alabama,Marion County,34.1382194,-87.881551,29341
Alabama,Marshall County,34.3095637,-86.3216681,97612
Alabama,Mobile County,30.6845725,-88.1965682,414809
Alabama,Monroe County,31.5803324,-87.3832656,19772
Alabama,Montgomery County,32.2028812,-86.2044615,228954
Alabama,Morgan County,34.4544844,-86.8464021,123421
Alabama,Perry County,32.6390053,-87.2938269,8511
Alabama,Pickens County,33.2968003,-88.0968644,19123
Alabama,Pike County,31.7986533,-85.9416076,33009
Alabama,Randolph County,33.2964614,-85.4640637,21967
Alabama,Russell County,32.2898113,-85.1869798,59183
Alabama,St. Clair County,33.7194907,-86.3113273,91103
Alabama,Shelby County,33.2630428,-86.6780894,223024
